row_key,review_id,official_scenic_id,scenic_name,review_time,rating,review_text,llm_issue_tags,llm_reason,prompt_version
BJ20_10__182043226,182043226,BJ20_10,司马台长城,2024-05-29,1.0,不建议来，0分，来司马台玩没自由，处处被限制。五月份一下刷了四座长城，八达岭，慕田峪，居庸关和司马台，司马台是玩的最不爽但却是花钱最多的。长城被圈在古北口水镇里面，变成他们自己的了，车不能开进去，人也不能自己走进去，因为要穿水镇。从停车场需要坐摆渡船到长城售票处，摆渡车每人10元，实际也就1公里。长城售票处其实连水镇还没进，买完票需要再坐摆渡车到长城，注意这里摆渡车首班10点，且一个小时才一趟，也就是说，爬司马台只能在大中午顶着大太阳爬，来早了也根本进不去。回来的时候也是，如果错过上一趟摆渡车就要等一小时。再说长城，保安比游客多，几百米就一个，可怕吧，处处限制你，这不行那不行，每个敌楼里两保安，路上还有，正午爬的衣服湿了，四下就我和我朋友加两保安，我就把上衣脱了让风吹一下，速干的马上就能干，保安就不让，非让穿上，后面就很不愉快，这不是有病吗，我出来玩还有被管着！爬其他长城的时候，人比这多多了，到处都是光膀子的，也不见有人管，而且其他长城上也没保安，就司马台，你走到哪都感觉有只眼睛在盯这你。停车场按次收费25一次，计时的话10几块。从停车场到售票处再从售票处到长城，坐摆渡车往返一共40,service_process|queue_wait|crowding|staff_service,评论核心抱怨包括：1. 服务流程与组织衔接问题（摆渡车班次少、时间安排不合理导致只能中午爬）；2. 排队等待问题（错过摆渡车需等一小时）；3. 拥挤度问题（保安比游客多，感觉被监视）；4. 现场人员服务态度问题（保安强制要求穿衣服，引发不愉快）。,issue_only_v1
BJ20_10__159760949,159760949,BJ20_10,司马台长城,2019-07-16,3.0,首先说说司马长城：在购票中心买票时问了购票中心的职员，缆车票可以到坐缆车的点再购买，有学生票售，但到了坐缆车的点购票时说没学生票出售，迫于无奈，四个学生买了成人票，90元一张 ，（学生票45），再说说古镇，没什么好玩的，就是个人工小镇，门票140，性价比不高，再坑的是，下车时司机说最后一班车是十九点三十分，十九点到了停车场，见到一辆大巴停在停车场，兴冲冲的跑上车，被告知十九点三十分没车，要二十一点才发车，我们不信，在之前下车点等待车时，有个黑车司机不停游说：十九点三十分没车的，说那车在东直门拉不够客，不来这边了，想要我们坐他的黑车，价钱是原车费的两倍，还好我们不信他，等到十九点三十分有部原本停在傍边的中巴开来了，终于有车回北京城了。在这还要吐槽一下那中巴司机，看他一直跟那黑车司机拉拉扯扯的，像是一伙人，不到最后一刻，不肯把车开来，（那车早就停在傍边，但没挂到东直门的牌），购于了，又没给车票，这管理混乱的，没安全感，以后还会再去了。,ticket_price|traffic_access|staff_service|service_process,抱怨缆车学生票规则不一致导致多花钱、门票性价比低；交通大巴信息不准、疑似与黑车司机勾结、管理混乱不给车票；涉及价格、交通、服务态度和流程组织问题。,issue_only_v1
BJ20_15__185087645,185087645,BJ20_15,中国科学技术馆,2024-07-02,1.0,千万别定这个团！千万别定这个团！千万别定这个团！提前很多天购买的团，就是考虑预约一并预约主展厅并有讲解，可以不走马观花。结果当天去现场说没有预约，一个组好几家人都没有，有的一家约了1个人、2个人，全部在现场“干瞪眼”，解决办法就说给你看旁边的什么馆，不然就等着刷别人的退票，且不保证什么时候有。就很疑惑，票有问题不能提前哪怕一天告知一下吗？？？浪费一天时间，千里迢迢来旅游，浪费时间就轻飘飘一句抱歉。几家人在哪儿投诉无门！！！投诉无门！！投诉无门！！太恶劣了，携程也该好好审核和整顿下这些几转手的商品了！！ 再说馆内，假期人太多太多太多，很多设备在维修，除了走马观花瞅一眼，很多体验不了，想体验排队也很长，体验感很差。也看到很多专门带学生的旅行团，也是走马观花，假期来的意义真的太差。作为国家级的科技馆真的该改进改进了，相比免费的军博，同样预约难，但馆内服务、基础卫生和便民环境等等好太多太多,platform_transaction|crowding|queue_wait|facility_hygiene,前半部分核心抱怨在携程平台购买的团票预约失败且未提前通知，导致无法入园，属于平台履约问题；后半部分抱怨馆内假期人多拥挤、设备维修、体验排队长，涉及拥挤、排队等待和设施维护问题，并提及与军博对比的卫生和环境差距。,issue_only_v1
BJ20_15__167263206,167263206,BJ20_15,中国科学技术馆,2021-07-24,1.0,团队管理有问题，个人因为住在二环，怕迟到不想拖团队后腿，上午10点就领着孩子出发，到科技馆12点，几次问领队，就说这些都是1:10分团，因为早到所以在旁边找个位置休息，结果不到一点突然喊集合排队，后面来的直接全到了前面，到我们这就告知跟下个团，那下个岂不是又要等50人成团，领导还很横，说到1:10了吗？说你想早走上前面去啊？我试问前面谁会让，难道你们不按照顺序发号吗？不查人，不点人，不管前后来的顺序，只要冲到前面的就发麦，没冲上去的就的等，我们是来游玩的不是看你们脸色安排的，97块多一张票，得到的服务是很“特别”，我们可以不看了，但是你们作为你们自己所说的硕士博士就是如此安排团队的？让人大跌眼镜，真的对高学位有了重新的认识。携程为了赚钱对这样的现象也是睁一眼闭一眼吗？,staff_service|service_process|queue_wait|platform_transaction,评论核心抱怨团队管理混乱（服务流程与组织衔接问题），领队态度差、言语横（现场人员服务态度问题），因管理混乱导致排队无序和等待（排队等待问题），并提及携程平台对问题的默许（平台交易与履约问题）。,issue_only_v1
BJ20_18__164618068,164618068,BJ20_18,玉渊潭公园,2020-10-03,3.0,体验不佳，因为是单向游览，按照时间进场刚刚错过所谓的灯光秀，然后又要等二十多分钟，其他观众会在后面催促，所以也就跟着人群向前走，只是带着孩子体验一次所谓的雾和雨，然后就是一次微信扫描二维码拍照留念，再回头时工作人员已经禁止回游，所以体验非常差，感觉性价比太低，被骗了一样！景色一般，设计了好多大大小小的灯，没感觉有啥出众的地方！可玩性低，或者说没有什么可玩的，带着孩子去的体验一下灯光下的一场雨还时间很短！还排队，只能玩一次！工作人员在傍边看着！玩的也不痛快！性价比低，根据我的描述换位思考一下您觉得应该是多少钱呢？我的描述没有一丝一毫相差的地方！,queue_wait|crowding|service_process|ticket_price,评论明确抱怨了排队等待（'还排队'）、人群拥挤催促（'其他观众会在后面催促'）、单向游览流程设计不合理导致错过项目且无法返回（'单向游览'、'禁止回游'），以及多次强调性价比低、感觉被骗（'性价比太低'、'性价比低'）。,issue_only_v1
BJ20_06__204959021,204959021,BJ20_06,明十三陵,2025-02-26,1.0,世界文化遗产，也不知道联合国拨的钱都用到哪去了，等着2030年被除名吧。这么大门票这么贵的5A级景区，连个景交车都没有，全靠黑车（淡季160）。联票实在没必要，神路就几个石像，气他陵都长得一模一样，把皇帝放那都分不清哪个是自己的，看一个就行了。里面没什么东西，复制品都没几个，建筑翻新了，一点特色都没有，地宫像个没装修的地铁站，文物（还是复制的）屈指可数，棺椁新得像刚从家具市场买回来的，红油漆锃光发亮。 总之就是啥都没有，想看文物区国博，想看地宫去兵马俑、陕西乾陵。,ticket_price|traffic_access|facility_hygiene|crowding,评论抱怨门票贵且性价比低（联票没必要、内容少）、交通不便（没有景交车、黑车问题）、设施和环境问题（地宫像没装修、文物复制品少且新）、以及隐含的拥挤问题（陵墓相似、看一个就行），但未涉及服务态度、流程、预约、平台交易等具体治理问题。,issue_only_v1
BJ20_05__234233477,234233477,BJ20_05,恭王府,2025-11-23,4.0,"豪宅很大,看得很开心。有水特色的花园也是一个亮点。一些文物和显示器很有趣。并非所有的项目都被翻译成英语,所以只读英语的游客除了观光之外可能会发现它不那么有趣。那里有很多旅游团,所以室内显示器可能会非常拥挤。地铁的入口可能会令人困惑,这取决于您使用的gps应用程序。我们访问期间有很多粪便气味,不确定是否由于天气和风特别糟糕,但如果您特别敏感,请准备口罩。一些展品/礼品店似乎与主题松散有关,但还可以。对于门票价格,这是值得的半天体验。",crowding|traffic_access|facility_hygiene|commercialization,评论提到室内显示器因旅游团多而非常拥挤（crowding）；地铁入口可能令人困惑（traffic_access）；访问期间有很多粪便气味（facility_hygiene）；一些展品/礼品店与主题松散相关（commercialization）。其他如翻译问题、门票性价比等未构成明确抱怨或治理问题。,issue_only_v1
BJ20_20__160419588,160419588,BJ20_20,奥林匹克塔,2019-08-17,1.0,史上最坑景点之一，安检那几个保安更是把看家狗本领做到极致，素质低态度差，简直能用穷凶极恶来形容，不让带水和实物，让游客开包后自己把手伸进去一顿乱翻，拿不出任何规定，任意决定不能带这个，不能带那个，问为什么，给来一句，我现在告诉你不能带，塔上只有一家卖水的地方，四块钱的果汁源卖16，下塔后保安还把东西弄丢了，懒得理论，真怀疑是个私人开发的景点！！！,staff_service|service_process|ticket_price|facility_hygiene,核心抱怨包括：1. 保安态度差、素质低（staff_service）。2. 安检流程混乱、随意翻包、规定不明（service_process）。3. 塔上商品价格过高（ticket_price）。4. 下塔后物品丢失，涉及管理问题（facility_hygiene）。,issue_only_v1
BJ20_09__208906958,208906958,BJ20_09,居庸关长城,2025-04-16,4.0,上次来是2000年吧，25年了，即使在北京工作了10年，也没时间再访。依稀记得那是十一，还是个孩子的我跟着爸爸妈妈从沈阳来。站在关城上，看着万里长城第一雄关。 这次已经是定居北京，跟着孩子幼儿园的研学团，其实我是悄悄来的，带着孩子的姥姥姥爷，不放心孩子，暗中保护。景色真的壮丽！ 但是，景区两个点有待改进。 第一：景区几个停车场到检票处指引不清晰，尤其是三号停车场，西侧停车根本找不到进口。其中一个保安再我问路时态度非常差，而且错误指引，让我从三号出，再进入2号，额外收了一次停车费。气不过，在检票口投诉了，正好遇到管理人员，感谢管理处的两位工作人员，帮我免除了额外收费，并且安抚我和家人情绪。 第二：文创产品毫无特色，就是纯纯坑老外。你找不到一个冰箱贴或者小玩意写着居庸关，你找不到任何和天下第一雄关有关的东西。一个笔记本150块，一个漆器盘子3000块。老外多，你也不能这么坑，在这里景区是有责任的 就这么多吧，值得来，八达岭，居庸关，慕田峪，黄花城，各有特色，值得领略这大好河山,traffic_access|staff_service|commercialization,第一点抱怨停车场指引不清晰导致额外收费，属于交通到达与停车问题；其中保安态度差且错误指引，属于现场人员服务态度问题。第二点抱怨文创产品无特色且价格高，属于商业化与消费干扰问题。,issue_only_v1
BJ20_01__665957083,665957083,BJ20_01,故宫博物院,2026-04-01,3.0,"承认,等待了更多。改变旅游计划不错。在前两个场地,在外宫,差不多一个小时,内心最有趣。结果,金库和博物馆的钟表平凡地没有时间。开始赶走,导游无情,半人都走了,我们几乎没有住,送号码,不多,不过如果是第二回合(我们一小时来)就很容易解释,几分钟,看着脚下!在桥头第一部分没有座位,会有一秒钟的。准备好迎接人群(我们还说是的,一般,不是很多人,我们是星期三!)从村落到1.3 m可以!人们带着食物拖船。一大群人穿着西装。很多车和小孩,他们在那里很无聊。在里面买东西不容易,哪里都不。简历-点名-是的,可以去。学习有趣的东西,新的东西是有争议的。享受几乎没有。",queue_wait|crowding|guide_explanation,评论明确提到等待时间长（差不多一个小时）、人群拥挤（准备好迎接人群）、以及导游无情赶走导致讲解体验差。,issue_only_v1
