row_key,review_id,official_scenic_id,scenic_name,review_time,rating,review_text,llm_issue_tags,llm_reason,prompt_version,issue_tag_count,issue_flag,tag_staff_service,tag_service_process,tag_guide_explanation,tag_queue_wait,tag_reservation_entry,tag_ticket_price,tag_traffic_access,tag_facility_hygiene,tag_crowding,tag_commercialization,tag_platform_transaction
BJ20_02__212657957,212657957,BJ20_02,颐和园,2025-05-22,5.0,这次安排父母来北京旅游，第一站就是颐和园-圆明园。报团的导游讲解的很好，爸妈很满意。,,整体是正向体验，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_02__213192176,213192176,BJ20_02,颐和园,2025-05-29,5.0,环境优美，放松散心好地方，现在很多地方公园也做得很好，只是这里多些故事。,,整体是正向体验描述，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_02__213495080,213495080,BJ20_02,颐和园,2025-06-01,5.0,颐和园很大所以虽然赶上节假日但是游玩的时候并没有因为人多而感到拥挤。加上孙导的讲解很生动和浅显易懂，哪怕是同行的三年级的孩子和对历史不感冒的长辈听也并没有感到枯燥乏味反而时常加入探讨，很推荐全家老小一起出动的家庭游选择孙导的讲解。,,评论整体为正向体验描述，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_02__214395210,214395210,BJ20_02,颐和园,2025-06-11,5.0,颐和园游记 周末，我来到了北京的颐和园，开启了一场穿越古今的旅程。 刚踏入颐和园，就被眼前的美景深深吸引。这里是皇家园林的典范，湖光山色，美不胜收。首先映入眼帘的是昆明湖，湖水波光粼粼，湖面上几只游船缓缓驶过，留下一道道涟漪。湖边的垂柳随风轻摆，仿佛在欢迎每一位游客。 沿着湖边漫步，来到了长廊。长廊宛如一条彩带，蜿蜒曲折，廊内绘满了精美的彩绘，每一幅都讲述着一个古老的故事。漫步其中，仿佛穿越了时空，回到了那个辉煌的年代。 从长廊出来，便是万寿山。拾级而上，佛香阁巍然屹立在山顶，金碧辉煌，气势恢宏。站在佛香阁前，俯瞰整个颐和园，昆明湖如同一面巨大的镜子，西堤六桥宛如一条玉带，远处的玉泉山和西山连绵起伏，景色尽收眼底。 下山后，我来到了石舫。这艘石舫造型精美，仿佛随时都能扬帆起航。坐在石舫边，微风拂面，湖水轻拍着岸边，让人心旷神怡。 颐和园的美，不仅在于它的自然风光，更在于它深厚的历史文化底蕴。这里每一处景致都承载着无数的故事，让人流连忘返。,,整体是正向体验描述，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_02__214795267,214795267,BJ20_02,颐和园,2025-06-16,5.0,颐和园南如意门是颐和园最南的门，这里有乘船从北京动物园北京展览馆经过万寿寺到颐和园的唯一水路，所以也可以认为这个门也是颐和园最精彩的门。 如今这里变成了北京的热点，由于这个水域对游泳爱好者开放，这里居然被北京生活的老外改变了变成了“北京的塞纳河”，如今这里很热闹，很新潮也很“网红”，这就是北京的颐和园南如意门的新意。,,评论内容为对颐和园南如意门的特色介绍和现状描述，属于中性或正向的体验分享，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_02__218089663,218089663,BJ20_02,颐和园,2025-07-26,5.0,很大的园林，如果都逛完，要走好几个小时。风景很不错。,,整体是正向体验描述，没有明确抱怨、摩擦、障碍或治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_02__221004918,221004918,BJ20_02,颐和园,2025-08-19,5.0,有几个部分在维修，期待下次再来,,评论仅提及部分区域维修，属于景区正常维护，没有明确抱怨治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_02__221299919,221299919,BJ20_02,颐和园,2025-08-21,4.0,皇家园林，值得一游。苏州街没开，里面无它家饮料,,评论整体为正向体验描述，提及'苏州街没开'和'里面无它家饮料'属于客观信息陈述或轻微不便，未构成对景区治理、服务、流程等方面的明确抱怨或问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_02__226867117,226867117,BJ20_02,颐和园,2025-10-03,5.0,秀才说李导，行程安排紧凑，合理，没有，冤枉路。推荐,,整体是正向评价，没有明确抱怨治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ20_02__227071244,227071244,BJ20_02,颐和园,2025-10-04,3.0,三颗星给到导游讲解员，本来只想给一星的。没有互动，发的小卡片不知道做什么用的，跟普通的讲解团没有区别。,guide_explanation,评论明确抱怨导游讲解员没有互动、小卡片用途不明，与普通讲解团无区别，核心问题是讲解质量与体验不佳。,issue_only_v1,1,1,0,0,1,0,0,0,0,0,0,0,0
BJ20_02__228763151,228763151,BJ20_02,颐和园,2025-10-15,5.0,感谢孙导全程精彩的讲解！景点讲解非常细致，讲得也很生动！我们也是听得津津有味！昨天景区的人也是非常多，孙导一直在给我们找可以坐的地方给我们讲解。真的感谢孙导！,,评论整体为对导游服务的积极感谢，并提及人多但导游努力解决，没有明确抱怨治理问题。,issue_only_v1,0,0,0,0,0,0,0,0,0,0,0,0,0
