row_key,review_id,official_scenic_id,scenic_name,review_time,rating,review_text,llm_issue_tags,llm_reason,prompt_version
BJ20_18__164618068,164618068,BJ20_18,玉渊潭公园,2020-10-03,3.0,体验不佳，因为是单向游览，按照时间进场刚刚错过所谓的灯光秀，然后又要等二十多分钟，其他观众会在后面催促，所以也就跟着人群向前走，只是带着孩子体验一次所谓的雾和雨，然后就是一次微信扫描二维码拍照留念，再回头时工作人员已经禁止回游，所以体验非常差，感觉性价比太低，被骗了一样！景色一般，设计了好多大大小小的灯，没感觉有啥出众的地方！可玩性低，或者说没有什么可玩的，带着孩子去的体验一下灯光下的一场雨还时间很短！还排队，只能玩一次！工作人员在傍边看着！玩的也不痛快！性价比低，根据我的描述换位思考一下您觉得应该是多少钱呢？我的描述没有一丝一毫相差的地方！,queue_wait|crowding|service_process|ticket_price,评论明确抱怨了排队等待（'还排队'）、人群拥挤催促（'其他观众会在后面催促'）、单向游览流程设计不合理导致错过项目且无法返回（'单向游览'、'禁止回游'），以及多次强调性价比低、感觉被骗（'性价比太低'、'性价比低'）。,issue_only_v1
BJ20_14__158603599,158603599,BJ20_14,北京天文馆,2019-05-01,1.0,总的来说，体验极差。讲解内容针对小孩子，却对成人收更高的票价。我要freestyle了预警一下，你说你讲给小孩子就算了，主要讲的很差，真的很差，我听了不到5min就摘下耳机自己去逛了，讲真的，在售票区买张半价学生票，一逛逛一天舒服多了好吗，管内附有很多讲解，不用她导览也ok。逛到一半call我出来把耳机还给她，及其影响心情。导游办事能力差拖沓态度又不好，硬拖后了四十分钟才进馆。总之就是很生气，非常不满意。,guide_explanation|ticket_price|staff_service,核心抱怨包括：1. 讲解内容针对小孩且质量差（guide_explanation）；2. 对成人收取更高票价（ticket_price）；3. 导游办事能力差、拖沓、态度不好（staff_service）。,issue_only_v1
BJ20_05__234732100,234732100,BJ20_05,恭王府,2025-11-26,1.0,推轮椅的朋友们不要来 全程需要过门槛 至少要七八个门槛才能走到后花园。这还不算你要各个房间的情况 后花园也只能到水边看看 剩下的推不过去。但是！ 你出来的时候一个门槛没有。就不能把出口也开放成入口嘛？除了看看王府布局 剩下的就都是架设手机讲稗闻野史的主播。气氛就像到了菜市场 远没有十年前安静惬意,facility_hygiene|commercialization|crowding,评论核心抱怨包括：1. 全程多个门槛阻碍轮椅通行，属于配套设施无障碍设计问题（facility_hygiene）；2. 景区内大量主播用手机讲稗闻野史，气氛像菜市场，属于商业化和消费干扰（commercialization）；3. 整体氛围嘈杂拥挤，与十年前安静惬意对比，隐含人流压力（crowding）。未涉及服务态度、流程、预约、价格等其它治理问题。,issue_only_v1
BJ20_11__638796103,638796103,BJ20_11,潭柘寺,2026-02-10,1.0,冲着“西晋建寺，先有潭柘寺，后有北京城”这些标签去的，第一次去晚了一点没有进去成，过了几天又从市区过去，总算是掉进了坑里。门票50，比雍和宫贵了一倍，不知道哪里来的底气。商业化严重，各大殿基本是近现代仿古建筑，连佛像都粗制滥造，缺乏恭敬心。收取高价门票，却不能维持道场的庄严，敢问是如何做到无惭无愧？这个寺庙的运营，真正印证了佛经所描述的末法乱相，“魔子魔孙着我袈裟，欺逛白衣”。更滑稽的是排队摸石鱼，摸了去疾消灾，还推出相关文创产品。佛教道场不宣扬正法，反而散布鼓动这种邪见牟利，可以说早把弘法济世，度己度人忘得一干二净了。只能说，这个地方网络营销很成功。,ticket_price|commercialization,核心抱怨是门票价格高且性价比低（与雍和宫对比），以及商业化严重（仿古建筑、粗制滥造、推出文创产品牟利），干扰了道场的庄严和游览体验。,issue_only_v1
BJ20_14__161281999,161281999,BJ20_14,北京天文馆,2019-10-03,3.0,天文馆分为AB展馆，展馆本身的门票只需要***钱。AB展馆之内分别有四个可以观看电影的场所，如果买了电影票，展馆的门票都可以免费。一般去天文馆，起码要看一场***吧。所以。此链接所出售的所谓门票，其实说到底是导游服务。如果你的孩子还没上小学，根本听不懂讲解。不建议购买。如果你是天文爱好者，可以听一听。描述的9:30入场根本不可能。集合到所有人去排队已经9:50。有点浪费时间。,guide_explanation|service_process,评论核心抱怨点：1. 讲解服务对孩子不适用（‘根本听不懂讲解’），涉及讲解内容与受众匹配问题，属于讲解质量范畴。2. 集合组织导致实际入场时间远晚于描述时间（‘描述的9:30入场根本不可能。集合到所有人去排队已经9:50’），属于服务流程与组织衔接问题。,issue_only_v1
BJ20_20__189451627,189451627,BJ20_20,奥林匹克塔,2024-08-11,1.0,属于那种来不来无所谓的地儿、上来不容易下去更加难、管理混乱、几乎没有维持秩序的、风景咋说呢、隔断防护是不是可以做的更好、不会影响拍照的位置、毕竟上来干嘛来了、建议想来就直接约上第二天的天安门升旗、这边下楼落地了直接去看升旗。或者你别为了看夜景来，槽点很多、总觉得可以做的更好、目前看相当鸡肋。,service_process|staff_service,评论明确抱怨‘管理混乱、几乎没有维持秩序的’，这属于服务流程与组织衔接问题；‘几乎没有维持秩序的’也隐含了现场人员服务缺失或态度冷漠的问题。,issue_only_v1
BJ20_13__654280915,654280915,BJ20_13,首都博物馆,2026-03-12,2.0,环境还可以 但体验非常差 每个厅里都有很多拿着🈲牌子的攻击性npc 逢人就随机冲上去让人静音 问题是游客都是偶尔正常说话的声音 根本不用不停打断别人的参观过程 欧美国内的展馆去过多少个了 从来没见过这种安排npc不停提醒别人不要犯错的 非常不友好,staff_service|service_process,评论核心抱怨现场工作人员（npc）行为具有攻击性、频繁且不必要地打断游客正常参观，这属于服务态度和现场管理方式问题（staff_service）；同时，这种安排本身（每个厅都有很多npc随机冲上去提醒）反映了流程或现场组织方式不合理，干扰了正常参观流程（service_process）。,issue_only_v1
BJ20_14__164337543,164337543,BJ20_14,北京天文馆,2020-09-07,3.0,现在的北京天文馆在原老馆地址又扩建了现代化的新馆。本以为会很有特色，兴高采烈地跑去，感觉有些失望。展馆工作人员非常少，讲解员都要单独请，馆内展示以图片为主，少许简易的道具，每天几个场次的电影都是售票的。,guide_explanation|ticket_price,评论抱怨讲解员需单独付费聘请，且馆内展示以图片和简易道具为主，涉及讲解服务质量和额外收费问题；同时提到电影需另行购票，隐含对二次收费的抱怨。,issue_only_v1
BJ20_10__173136057,173136057,BJ20_10,司马台长城,2022-10-15,4.0,好多人排队，上去时天已经开始黑了，但是看到的景色很美，天气超级给力，没有风。就是爬长城的人太多了，，天又黑，没有城墙感，还很陡，觉很危险。没有完全爬上去。两边有工作人员一直在叮嘱，注意安全，不要停。,queue_wait|crowding,评论明确抱怨‘好多人排队’和‘爬长城的人太多了’，分别对应排队等待和景区内部拥挤问题。虽然提到天黑、陡峭和危险，但这是对客观环境和自身体验的描述，并非对景区治理问题的明确抱怨（如安全设施缺失、照明不足等）。工作人员叮嘱安全是正面描述，不构成服务态度问题。,issue_only_v1
BJ20_17__669096625,669096625,BJ20_17,北京动物园,2026-04-06,2.0,"我的真诚意见不值得,很多修理馆,海洋馆-有东西。我建议你花钱去购物或旅游历史遗址。我甚至不建议带孩子去那里。熊猫不在门口,在门口买了,但是到最著名的熊猫已经超过2小时了。",queue_wait|crowding,评论明确提到‘到最著名的熊猫已经超过2小时了’，核心抱怨是排队等待时间过长；同时‘很多修理馆’和‘熊猫不在门口’暗示人流多、动线长，存在拥挤问题。,issue_only_v1
BJ20_14__158644826,158644826,BJ20_14,北京天文馆,2019-05-03,1.0,中央电视塔+天文馆的联票千万别买，买上后要先到电视塔取票，取上票天文馆也不能直接进，还要拿上电视塔取的票到天文馆排队换天文馆的票，比排队直接买票还费时费力，纯属套路。,service_process|ticket_price,核心抱怨是联票的兑换流程设计不合理，需要多次排队换票，比直接买票更费时费力，这属于服务流程与组织衔接问题；同时，用户认为此设计是‘纯属套路’，隐含了对这种收费方式性价比的质疑。,issue_only_v1
BJ20_03__244212970,244212970,BJ20_03,天坛公园,2026-01-10,5.0,"地方很大,最好早点去那里,因为一切都在下午5点关门。之后,去祈祷大厅外面,看到照亮塔楼的美丽的夜灯,真是美丽的景象。但是trip.com门票价格比通过微信或现场在官网购买贵得多,不要从trip.com购买,Trip.com也收取取消费用。",ticket_price|platform_transaction,评论明确抱怨Trip.com门票价格比其他渠道贵，并提及平台收取取消费用，属于价格与性价比问题以及第三方平台交易问题。,issue_only_v1
BJ20_18__160771539,160771539,BJ20_18,玉渊潭公园,2019-09-04,5.0,北京的一个街心公园吧！每到樱花季节的时候人满为患，方圆十公里开始堵车，最好公交前往，不然没有停车场。我今年看人一直很多，结果是晚上去的，樱花看不见。挺可笑。但白天是很美，就是拍照的人会挤满每张照片，还有许多穿汉服的、拍网剧的。,crowding|traffic_access,评论明确抱怨樱花季节时'人满为患'、'拍照的人会挤满每张照片'，属于景区内部拥挤问题；同时提到'方圆十公里开始堵车'、'没有停车场'，属于交通到达和停车不便问题。,issue_only_v1
BJ20_08__656227468,656227468,BJ20_08,慕田峪长城,2026-03-15,5.0,"我们自己做的一切,买票在这里,但是即使他们可以在同一个地方买票,我们从停车场到2号唐泽吉安地铁接了916?他们让我们支付12元到你拿到一个迪迪(30元)到办公室去取票,支付你离开的座位和旅游巴士,这两件事155元。",reservation_entry|traffic_access,评论抱怨了购票后仍需到特定办公室取票的流程问题，以及从停车场到地铁接驳、再打车到办公室取票的交通不便和额外费用。,issue_only_v1
BJ20_11__642549167,642549167,BJ20_11,潭柘寺,2026-02-17,2.0,过度商业化让景点褪色了，门票比故宫贵10元，性价比低不推荐。很多人是冲着：先有潭柘寺，后有北京城，这句话而去，希望无能的管理者不要过于辜负前人的遗产。,commercialization|ticket_price,评论明确抱怨‘过度商业化让景点褪色了’，属于商业化干扰；同时指出‘门票比故宫贵10元，性价比低’，属于门票价格与性价比问题。,issue_only_v1
BJ20_14__162601924,162601924,BJ20_14,北京天文馆,2020-01-12,3.0,88每人 ，讲解费用78元，这个费用真心太贵 故宫的讲解路远 内容多也没这么贵 不过带小孩子很好的一个地方 就是讲解不太好,ticket_price|guide_explanation,明确抱怨讲解费用太贵（门票价格与性价比问题），并指出讲解不太好（讲解与导览质量问题）。,issue_only_v1
BJ20_13__169434445,169434445,BJ20_13,首都博物馆,2022-02-08,1.0,骗人的，门票是免费的，订票和讲解APP误导消费者，明显坑人陷井，没讲解不退钱平台不解决，还强词夺理，整个坑人。,platform_transaction|guide_explanation,评论明确抱怨第三方平台（APP）在订票和讲解服务上误导消费者、不解决问题且强词夺理，属于平台履约问题；同时提及讲解服务存在问题（没讲解不退钱），涉及讲解质量或服务承诺的抱怨。,issue_only_v1
BJ20_17__202820101,202820101,BJ20_17,北京动物园,2025-02-01,1.0,根本没有讲解，就是骗子，本来进熊猫馆只需要花2.5元，结果骗了我们140元。真是大骗子，大家千万别再上当了。,guide_explanation|ticket_price,评论明确抱怨‘根本没有讲解’，属于讲解质量问题；同时抱怨价格欺诈（2.5元变140元），属于价格与性价比问题。,issue_only_v1
BJ20_11__174821518,174821518,BJ20_11,潭柘寺,2023-02-05,1.0,差评，一点秩序没有人挤人，没发生踩踏不管，车多人多，浪费时间，车上摇摇晃晃，站满人，容易发生事故,crowding|traffic_access,核心抱怨是景区内部人挤人（拥挤度）和交通车上人多、摇晃、存在安全隐患（交通到达与安全问题）。,issue_only_v1
BJ20_03__220521701,220521701,BJ20_03,天坛公园,2025-08-15,3.0,"我们通过应用程序购买了票,但我们还是不得不等到排队,他们把我们给他们,他们进门时不知道这是什么。",platform_transaction|queue_wait,评论提到通过应用程序购票后仍需排队，且入园时出现问题（'不知道这是什么'），这涉及第三方平台购票后的核验或入园流程问题，以及由此产生的排队等待。,issue_only_v1
BJ20_19__643988633,643988633,BJ20_19,国家游泳中心,2026-02-20,1.0,都没有开放泳池参观，被开演唱会的演出商承包了场地，买票时也不告知，一片冷清和萧条，赚钱不地道。,reservation_entry|ticket_price,评论抱怨购票时未被告知泳池参观未开放（预约购票与入园核验问题），并隐含对价格与性价比的不满（花钱却看不到核心内容）。,issue_only_v1
BJ20_04__656962272,656962272,BJ20_04,景山公园,2026-03-17,2.0,"这个所谓的英语导游不值得购买,门票入口只有2元人民币,音频指南只有5个简短的音频包,请省钱。",guide_explanation|ticket_price,评论明确抱怨英语导游（音频指南）内容简短、不值得购买，涉及讲解质量与性价比问题；同时提及门票价格低但附加服务性价比低，隐含对收费项目价值的质疑。,issue_only_v1
BJ20_20__166006790,166006790,BJ20_20,奥林匹克塔,2021-03-20,1.0,订单预订成功接收不到凭证码，无法入园取消行程，客服服务差，想退票才给发凭证码，强烈不建议买,platform_transaction|staff_service,评论明确抱怨第三方平台订单问题（收不到凭证码导致无法入园）和客服服务差（想退票才给发凭证码），符合标签定义。,issue_only_v1
BJ20_10__167756566,167756566,BJ20_10,司马台长城,2021-09-23,3.0,贵贵贵！ 安全防护有点不足，感觉不注意会掉下去的 夜晚的景色是真不错。除了价格贵和排队长,ticket_price|queue_wait,评论明确抱怨价格贵（'贵贵贵！'、'价格贵'）和排队长（'排队长'），属于门票性价比和排队等待问题。安全防护不足属于设施问题，但未明确抱怨设施本身或环境卫生，故不打标。,issue_only_v1
BJ20_11__169659067,169659067,BJ20_11,潭柘寺,2022-02-25,4.0,挺有意思的一个寺庙，但是太商业化了。50元门票太贵了，里面的小店也太多了。,commercialization|ticket_price,明确抱怨景区商业化（小店太多）和门票价格贵。,issue_only_v1
BJ20_19__167112243,167112243,BJ20_19,国家游泳中心,2021-07-11,1.0,一塌糊涂的管理路标都没有，车子又不让坐，一塌糊涂的人员门卫不礼貌,service_process|staff_service,评论抱怨管理混乱（路标缺失）属于服务流程与组织衔接问题，同时明确提到门卫不礼貌属于现场人员服务态度问题。,issue_only_v1
BJ20_15__164591695,164591695,BJ20_15,中国科学技术馆,2020-10-02,3.0,买的带老师讲解的，听了半小时，孩子小听不懂体验不佳，性价比低，,guide_explanation|ticket_price,评论明确抱怨讲解导致孩子听不懂、体验不佳，属于讲解质量问题；同时直接提到性价比低，属于价格与性价比问题。,issue_only_v1
BJ20_14__160163456,160163456,BJ20_14,北京天文馆,2019-08-07,3.0,期望很高，但其实不怎么样，时间安排不合理，也没有讲得很清楚,service_process|guide_explanation,评论抱怨'时间安排不合理'属于服务流程与组织衔接问题，'没有讲得很清楚'属于讲解与导览质量问题。,issue_only_v1
BJ20_20__161393039,161393039,BJ20_20,奥林匹克塔,2019-10-06,4.0,很高，找个天气好的下午，看看日落。网购门票便宜但是排队长。,ticket_price|queue_wait,评论提到网购门票便宜，隐含了对现场门票价格的比较或性价比的提及，符合ticket_price标签；同时明确抱怨了排队长，属于排队等待问题。,issue_only_v1
BJ20_04__216213880,216213880,BJ20_04,景山公园,2025-07-07,3.0,不划算！不如自己去线下买只要几块钱一张，没必要要讲解。。。,ticket_price|guide_explanation,抱怨门票价格不划算（不如线下便宜），并认为讲解服务没有必要，隐含对讲解性价比或价值的负面评价。,issue_only_v1
BJ20_15__178307129,178307129,BJ20_15,中国科学技术馆,2023-08-15,1.0,票被黄牛抢走，被迫在平台上买的。20元变成300元,platform_transaction|ticket_price,抱怨通过平台从黄牛处购票导致价格大幅上涨，涉及第三方平台交易和价格问题。,issue_only_v1
BJ20_06__177396855,177396855,BJ20_06,明十三陵,2023-07-02,4.0,这个价格实在是太贵了，讲解挺流水的,ticket_price|guide_explanation,明确抱怨价格贵，以及讲解质量流水化、不深入。,issue_only_v1
BJ20_02__643505633,643505633,BJ20_02,颐和园,2026-02-19,3.0,节假日很堵，组织安排不够合理,traffic_access|service_process,评论提到'节假日很堵'，属于交通到达问题；'组织安排不够合理'属于服务流程与组织衔接问题。,issue_only_v1
BJ20_10__159422194,159422194,BJ20_10,司马台长城,2019-06-24,1.0,这是一篇没有图的长篇评论（没有图是因为真的没什么可以拍的）。司马台长城门票40，索道双程160。门票挺便宜，因为景色并不好，站在长城上白天远眺四周没有特色的景观，只能看见民宿和酒店以及一个湖或者说是水库。长城的敌台只有一层，站在最高处四周很空旷，但是基本除了山什么也看不到。晚上长城上有灯光，在酒店远眺还可以，身处长城上一片漆黑，远处的水镇灯光还可以，但是也基本是模糊的一片。不推荐晚上去长城。接着说索道，单程80，单程是6分钟左右，在左手边可以远眺很短的一节长城，除此之外基本没有什么可以看的。山上的植被是三角的形状，有点像坟包…如果来古北水镇玩的朋友，体力可以的建议步行上山，体力不好的，建议不要来了。有机会可以去山海关以及老龙头或者附近董家口长城，感受一下海上长城，湖上长城，以及山上长城。,ticket_price,评论核心抱怨门票价格对应的性价比低，认为景色不好，不值得。,issue_only_v1
BJ20_07__236668356,236668356,BJ20_07,八达岭长城,2025-12-06,2.0,"我一大早就在约会地点等了,但是车没有来。我来了,但是我可能没见过那辆车,原因是它在茶馆前,但是茶似乎在公共汽车站而不是茶馆前的停车场站了起来。如果在指南上写着茶馆前的车站或茶馆前的主要道路ㅡ,那么今天就不会有同样的挫折了。我很尴尬,所以我联系了我,然后安排了10点从另一个地方出发的巴士。如果您知道这种情况,最好使用公共交通工具直接去那里。来的路不是在坐的地方再下车,而是他们在舒适的地方下车。因为紧张和压力而变得一团糟的一天",traffic_access,评论核心抱怨是交通接驳问题，包括约定的车辆未准时出现、停车位置描述不清导致错过、临时更换出发地点和交通安排混乱，这些都属于到达景区的交通便利性问题。,issue_only_v1
BJ20_19__184339324,184339324,BJ20_19,国家游泳中心,2024-06-23,3.0,跟水立方有关的，也就是可以看到泳池，跳台，以及水立方建材的一点展示。冰壶场地可能也开，但我们没赶上。再就是隔着玻璃能看到嬉水乐园。其他大部分场地是在各种古城能见到的买卖街，有点非遗技艺商品但很少，记得有内画壶和大漆漂染纸扇。还有一溜机器人设备，做个棉花糖打印个巧克力食品之类。飞龙表演有点无语，小孩子都坐不住要提前走。总之没见过的话可以进来逛逛，避个暑。,commercialization,评论核心抱怨是景区内大部分场地是各种古城能见到的买卖街，商业化氛围浓厚，对游览体验构成干扰。,issue_only_v1
BJ20_19__669123911,669123911,BJ20_19,国家游泳中心,2026-04-06,1.0,性价比很差，什么也没有，花了48一个人的票钱，看光影秀其实就是看10分钟的纪录片，以为有真人表演，其实大屏幕投影奥运会镜头记录，我觉得在家也可以看吧，场馆里可以游玩的地方是零，花钱进来就会后悔的那种，总体真的还不如去旁边公园转一下，至少是免费的，花钱进场馆太坑钱。不抹黑，纯实际体验感,ticket_price,核心抱怨是门票价格与性价比问题，认为花费不值、内容空洞、不如免费公园，没有明确涉及其他治理问题。,issue_only_v1
BJ20_16__165330464,165330464,BJ20_16,香山公园,2020-12-18,4.0,去的时候记得看一下官方微博，我去那天风太大缆车停了！！既然去了就只能靠腿登顶，上山容易下山难，太累了，平时也是有运动的人儿，11月20号左右去的，红叶只能远望无法近观，也不知道我是不是走错了，进门往后走啥红叶都没看到，只看到三四株而已。可能得往左走比较好？缆车是在入口左手边的方向。,queue_wait,评论核心抱怨是缆车因风大停运，导致只能徒步上下山，过程非常累，这本质上是因设施停运造成的长时间体力消耗和等待替代方案的问题，属于排队等待的广义体验损失。其他内容如红叶观赏位置是游玩建议或不确定的陈述，没有明确抱怨其他治理问题。,issue_only_v1
BJ20_20__203350960,203350960,BJ20_20,奥林匹克塔,2025-02-05,5.0,北京高的地方， 能看夜景的就这几个， 奥林匹克塔能看到中轴线， 晚上亮灯还是很漂亮的， 但是票价还是不便宜， 暑假排队人不少， 遇到下雨买了把纪念版雨伞,ticket_price|queue_wait,评论明确提到'票价还是不便宜'，属于价格与性价比问题；同时提到'暑假排队人不少'，属于排队等待时间过长问题。,issue_only_v1
BJ20_20__189282031,189282031,BJ20_20,奥林匹克塔,2024-08-10,5.0,傍晚去的，既看到了白天的景色，也看到了晚上的夜景，水立方、鸟巢尽在眼底，还是不错的。不过里面休息的地方很少，只有一个卖快餐的地方。票价相对来说有点高。,facility_hygiene|ticket_price,评论明确抱怨休息的地方很少（配套设施问题），并指出票价相对较高（价格与性价比问题）。,issue_only_v1
BJ20_16__179716813,179716813,BJ20_16,香山公园,2023-11-08,5.0,整体来说，还是可以的，天气适宜，就是倒地铁要三次。建议早点去，稍微去晚点人很多，爬山很累，且行且珍惜。希望大家玩的开心。,traffic_access|crowding,评论明确抱怨交通不便（倒地铁三次）和景区人多拥挤（去晚点人很多）。,issue_only_v1
