column_name,use_status,role,reason
zoo_index,保留,总体景区关注度/潜在需求信号,与票务前端压力具有直接需求联系，解释性强
ticket_index,保留为目标变量,票务与入园前端压力代理量,与全文“票务预约与入园体验”主线一致
AQI,保留并反向处理,天气环境条件,天气好坏会影响外出与游园需求
is_weekend,保留,周末效应,解释短周期日历波动，口径清楚
is_holiday,保留,法定节假日冲击,对动物园短期需求冲击强，叙事价值高
is_school_holiday,保留,学生假期冲击,北京动物园亲子出游属性强
day_of_week,不进入主模型,细分星期效应,与 is_weekend 高度重叠，正文模型保持简洁
diff_1,不直接使用,工程型短期变化量,定义依赖旧建模口径，解释性弱，改为自建 lag1
diff_7,不直接使用,工程型周同比变化量,与 lag7 含义重复，正文口径不够直观
rolling_mean_7,不直接使用,工程型平滑基线,与滞后项共线性强，且不利于系数解释
history_error,不直接使用,旧模型误差代理,不等同严格 MA 项，正文使用风险高
